Study_ID	Year	Title	Journal_published_in	Research_area	Insect_order	Insect_family	Development_stage	Target_community_of_microbiome	Sampled	Surface_sterilized	DNA_extraction_kit_used	16S_rRNA_gene_target_region	Did_they_use_negative_controls	What_type(s)	Is_it_reported_how_many_they_did_(blanks/total_samples)	Do_they_report_the_outcome_of_the_negative_controls	Did_they_sequence_the_negative_controls	What_was_the_reason_for_not_sequencing	Was_there_a_comparison_with_their_samples_to_control_for_contamination	How	Did_they_use_qPCR_in_tandem	Do_they_determine_the_limit_of_detection	Relic_DNA	Transient_bacteria	Animal/plant_DNA	Contamination	Is_the_DNA_sequencing_data_publicly_available	If_yes,_accession_code:	is_referenced_by_count
Hammer	2014	Metamorphosis_of_a_Butterfly-Associated_Bacterial_Community	PLoS_ONE	Microbiome	Lepidoptera	Nymphalidae	>1_developmental_stage	Body	Whole	Yes	MoBio_Laboratories	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	ERP003400	127
Hammer	2015	Evidence-based_recommendations_on_storing_and_handling_specimens_for_analyses_of_insect_microbiota	PeerJ	Microbiome	Multiple	Multiple	Adults	Gut	Whole	Yes	MoBio_Laboratories	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	Yes	Yes	10.6084/m9.figshare.1396464	99
Hammer	2021	Are_bacterial_symbionts_associated_with_gall_induction_in_insects	Arthropod-Plant_Interactions		Multiple	Multiple	>1_developmental_stage	Body	Whole	No	MoBio_Laboratories	V4	Yes	EBCs	17/104	Yes	Yes	NA	Yes	Decontam	No	NA	No	No	Yes	Yes	Yes	https://doi.org/10.6084/m9.figshare.13140422.v1	12
He	2021	Microbiome_structure_of_the_aphid_Myzus_persicae_(Sulzer)_is_shaped_by_different_Solanaceae_plant_diets	Frontiers_in_Microbiology	Microbiology	Hemiptera	Aphididae	Adults	Gut	Gut	No	MP_Biomedicals	V4	Yes	PCRblanks	No	No	No	Other	No	NA	Yes	No	No	No	Yes	No	Yes	PRJEB42912	13
Hu	2022	Analysis_of_the_bacterial_communities_of_four_predatory_natural_enemies_collected_from_a_Northern_China_Bt_cotton_field	Journal_of_Asia-Pacific_Entomology	Entomology	Multiple	Multiple	Adults	Body	Whole	Yes	Tiangen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA542598	0
Huang	2019	Microbial_Communities_in_Different_Developmental_Stages_of_the_Oriental_Fruit_Fly,_Bactrocera_dorsalis,_Are_Associated_with_Differentially_Expressed_Peptidoglycan_Recognition_Protein-Encoding_Genes	Applied_and_environmental_microbiology	Microbiology	Diptera	Tephritidae	>1_developmental_stage	Body	Whole	No	Tiangen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA523027	10
Huang	2021	Host_Phylogeny_and_Diet_Shape_Gut_Microbial_Communities_Within_Bamboo-Feeding_Insects	Frontiers_in_microbiology	Microbiology	Multiple	Multiple	>1_developmental_stage	Gut	Gut	No	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	DRA009676	21
Janke	2022	Bacterial_ectosymbionts_in_cuticular_organs_chemically_protect_a_beetle_during_molting_stages	ISME	Microbiology	Coleoptera	Tenebrionidae	>1_developmental_stage	Ectosymbionts,_Accessory_glands	Whole_and_wash	Yes	Epicentre	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	Yes	No	Yes	PRJNA790999	11
Javal	2022	Does_Host_Plant_Drive_Variation_in_Microbial_Gut_Communities_in_a_Recently_Shifted_Pest	Microbial_Ecology	Microbiology	Coleoptera	Cerambycidae	Juveniles	Gut	Gut	No	Qiagen	V4	Yes	EBCS+PCRblanks	5	No	Yes	NA	No	NA	No	NA	No	Yes	No	Yes	Yes	https://doi.org/10.5281/zenodo.6341252	2
Jeon	2011	The_Intestinal_Bacterial_Community_in_the_Food_Waste-Reducing_Larvae_of_Hermetia_illucens	Current_microbiology	Microbiology	Diptera	Stratiomyidae	Juveniles	Gut	Gut	Yes	Axygen	V1-V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	ERP000383	125
Jing	2014	The_bacterial_communities_in_plant_phloem-sap-feeding_insects	Molecular_Ecology	Microbiome	Hemiptera	Aleyrodidae	Adults	Body	Whole	No	Qiagen	V6-V7	Yes	EBCs	2	No	Yes	NA	Yes	Heuristically	Yes	No	No	No	No	No	Yes	NCBI_Accession_noCP003868_for_Portiera,_JN896335_for_Arsenophonus,_JQ009300_for_Hamiltonella,_DQ077707_for_Rickettsia1,_JN204501_for_Rickettsia2_and_DQ402518_for_Wolbachia.	85
Jones	2013	A_cross-taxon_analysis_of_insect-associated_bacterial_diversity	PLoS_ONE	Microbiome	Multiple	Multiple	Adults	Body	Whole	Yes	MoBio_Laboratories	V1-V2	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	HE660361_-__HE661175	129
Jones	2015	Flea-Associated_Bacterial_Communities_across_an_Environmental_Transect_in_a_Plague-Endemic_Region_of_Uganda	PLoS_ONE	Microbiome	Siphonaptera	Ceratophyllidae	Adults	Body	Whole	Yes	MoBio_Laboratories	V1-V2	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	KT589425 –KT589833	16
Jones	2019	Host_plant_and_population_source_drive_diversity_of_microbial_gut_communities_in_two_polyphagous_insects	Scientific_reports	Microbiome	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	ZymoBIOMICS	V4	Yes	Sequencingblank	No	No	Yes	NA	Yes	DIY	No	NA	No	No	No	No	Yes	PRJNA507591	83
Jousselin	2016	Assessment_of_a_16S_rRNA_amplicon_Illumina_sequencing_procedure_for_studying_the_microbiome_of_a_symbiont_rich_aphid_genus	Molecular_Ecology_Resources	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	No	Qiagen	V4	Yes	EBCs+PCRblanks	No	Yes	Yes	NA	Yes	Heuristically	No	NA	No	No	No	Yes	No	NA	59
Kakumanu	2018	Overlapping_community_compositions_of_gut_and_fecal_microbiomes_in_lab-reared_and_field-collected_German_cockroaches	Applied_and_environmental_microbiology	Microbiology	Blattodea	Ectobiidae	Adults	Gut	Whole_and_Gut	Yes	Qiagen	V4	Yes	PCRblanks	No	No	Yes	NA	No	NA	Yes	No	No	Yes	Yes	Yes	Yes	PRJNA415481	51
Kandasamy	2022	Unraveling_bacterial_diversity_of_the_Indian_Lac_Insect_Kerria_lacca_(Kerr)_using_next_generation_sequencing	International_Journal_of_Tropical_Insect_Science	Entomology	Hemiptera	Kerriidae	Adults	Body	Whole	No	HiMedia	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA638760	5
Karimian	2022	Comparative_analysis_of_the_gut_microbiota_of_sand_fly_vectors_of_zoonotic_visceral_leishmaniasis_(ZVL)_in_Iran;_host-environment_interplay_shapes_diversity	PLoS_Neglected_Tropical_Diseases	Microbiome	Diptera	Psychodidae	Adults	Gut	Gut	Yes	Qiagen	V3	Yes	EBCs+PCRblanks	3	No	Yes	NA	No	NA	No	NA	No	No	No	Yes	No	NA	4
Kolasa	2019	How_Hosts_Taxonomy,_Trophy,_and_Endosymbionts_Shape_Microbiome_Diversity_in_Beetles	Microbial_ecology	Microbiology	Coleoptera	Carabidae,_Staphylinidae,_Curculionidae,_Chrysomelidae,_Scarabaeidae	Adults	Gut	Gut	Yes	Promega	V4	Yes	EBCs	No	No	No	Other	No	NA	No	NA	No	No	No	No	Yes	https://www.ncbi.nlm.nih.gov/sra	36
Koneru	2016	The_bacterial_community_of_entomophilic_nematodes_and_host_beetles	Molecular_Ecology	Microbiome	Coleoptera	Scarabaeidae	Adults	Body	Whole	Yes	MoBio_Laboratories	V4	Yes	EBCs	4_(1_for_every_96-well_plate)	Yes	Yes	NA	Yes	Other	No	NA	No	Yes	No	Yes	Yes	GenBank_Accession_nos:_JX649208-JX649221,_NCBI_SRA:_PRJNA294696,_SRX1620494,_SRP071330,_SRX1620813.	25
Koskinioti	2019	The_effects_of_geographic_origin_and_antibiotic_treatment_on_the_gut_symbiotic_communities_of_Bactrocera_oleae_populations	Entomologia_Experimentalis_et_Applicata	Microbiome	Diptera	Tephritidae	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V1-V3_V6-V8	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA490261	27
Lampert	2019	Diet_is_not_the_primary_driver_of_bacterial_community_structure_in_the_gut_of_litter-feeding_cockroaches	BMC_Microbiology	Microbiology	Blattodea	Polyphagidae	Adults	Gut	Gut	No	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA448568	22
Landry	2015	Composition_of_the_spruce_budworm_(Choristoneura_fumiferana)_midgut_microbiota_as_affected_by_rearing_conditions	PLoS_ONE	Microbiome	Lepidoptera	Tortricidae	Juveniles	Gut	Gut	Yes	Qiagen	V6-V8	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	SRP065845â€”PRJNA300845	27
Landry	2022	Spruce_budworm_bacterial_communities_vary_among_sites_and_host_tree_species_in_a_boreal_landscape	Journal_of_Biogeography	Microbiome	Lepidoptera	Tortricidae	Juveniles	Body	Whole	No	Qiagen	V5-V6	Yes	EBCs+PCRblanks	No	No	Yes	NA	No	NA	No	NA	Yes	Yes	No	No	Yes	PRJNA701313	0
Li	2016	Can_closed_artificial_ecosystem_have_an_impact_on_insect_microbial_community_A_case_study_of_yellow_mealworm_(Tenebrio_molitor_L.)	Ecological_Engineering	Microbiome	Coleoptera	Tenebrionidae	Juveniles	Gut	Whole_and_Gut	No	BioBasic	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	26
Li	2020	Newly_introduced_Cardinium_endosymbiont_reduces_microbial_diversity_in_the_rice_brown_planthopper_Nilaparvata_lugens	FEMS_Microbiology_Ecology	Microbiology	Hemiptera	Delphacidae	>1_developmental_stage	Body	Whole_and_Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	8
Li	2021	Gut_Structure_and_Microbial_Communities_in_Sirex_noctilio_(Hymenoptera:_Siricidae)_and_Their_Predicted_Contribution_to_Larval_Nutrition	Frontiers_in_Microbiology	Microbiology	Hymenoptera	Siricidae	>1_developmental_stage	Gut	Gut	No	ZymoBIOMICS	V3-V4	Yes	EBCs+PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	No	Yes	No	Yes	PRJNA683715	11
Li	2022	The_Phylosymbiosis_Pattern_Between_the_Fig_Wasps_of_the_Same_Genus_and_Their_Associated_Microbiota	Frontiers_in_Micriobiology	Microbiology	Hymenoptera	Agaonidae	Adults	Body	Whole	Yes	Qiagen	V4	Yes	EBCs+PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	No	No	Yes	Yes	https://figshare.com/,_doi:_10.6084/m9.figshare.16853656,_doi:_10.6084/m9.figshare.17078801,_doi:_10.6084/m9.figshare.17075978.	1
Li	2022	Impact_of_Sulfoxaflor_Exposure_on_Bacterial_Community_and_Developmental_Performance_of_the_Predatory_Ladybeetle_Propylea_japonica	Microbial_Ecology	Microbiology	Coleoptera	Coccinellidae	Juveniles	Body	Whole	Yes	MP_Biomedicals	V3-V4	Yes	EBCs	No	No	No	Not_given	No	NA	Yes	No	No	No	No	No	Yes	PRJNA840872	1
Li	2022	Fall_Armyworm_Gut_Bacterial_Diversity_Associated_with_Different_Developmental_Stages,_Environmental_Habitats,_and_Diets	Insects	Entomology	Lepidoptera	Noctuidae	>1_developmental_stage	Gut	Gut	Yes	MP_Biomedicals	V3-V4	Yes	EBCs+PCRblanks	No	Yes	Yes	NA	Yes	DIY	No	NA	No	No	Yes	Yes	Yes	PRJNA790707	11
Li	2022	The_Impact_of_Environmental_Habitats_and_Diets_on_the_Gut_Microbiota_Diversity_of_True_Bugs_(Hemiptera:_Heteroptera)	Biology	Microbiome	Hemiptera	Notonectidae,_Belostomatidae,_Nepidae,_Reduviidae,_Nabidae,_Miridae,_Aradidae,_and_Pyrrhocoridae	Adults	Gut	Gut	No	Protocol	V3-V4	Yes	EBCs	No	No	No	Not_given	No	NA	Yes	No	Yes	No	Yes	No	Yes	PRJNA804667	8
Li	2022	The_functional_microbiota_of_on-_and_off-year_moso_bamboo_(Phyllostachys_edulis)_influences_the_development_of_the_bamboo_pest_Pantana_phyllostachysae	BMC_Plant_Biology	Microbiome	Lepidoptera	Lymantriidae	Adults	Gut	Gut	No	MoBio_Laboratories	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA778056	2
Li	2022	Impact_of_disinfectants_on_the_intestinal_bacterial_symbionts_and_immunity_of_silkworm_(Bombyx_mori_L.)	Environmental_Science_and_Pollution_Research	Microbiome	Lepidoptera	Bombycidae	Juveniles	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	PRJNA682934	2
Lima	2018	Bacterial_community_composition_in_the_salivary_glands_of_triatomines_(Hemiptera:_Reduviidae)	PloS_Neglected_Tropical_Diseases	Microbiome	Hemiptera	Reduviidae	Adults	Salivary_glands,_Surface	Gland_and_wash	No	MoBio_Laboratories	V1-V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	SRP119410	15
Liu	2018	Diversity_of_Bacterial_Communities_in_the_Intestinal_Tracts_of_Two_Geographically_Distant_Populations_of_Bactrocera_dorsalis_(Diptera:_Tephritidae)	Journal_of_Economic_Entomology	Entomology	Diptera	Tephritidae	Adults	Gut	Gut	Yes	Omega	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA456853	12
Liu	2020	Comparison_of_gut_bacterial_communities_and_their_associations_with_host_diets_in_four_fruit_borers	Pest_management_science	Microbiome	Diptera	Drosophilidae	Juveniles	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	No	NA	40
Liu	2022	Strong_linkage_between_symbiotic_bacterial_community_and_host_age_and_morph_in_a_hemipteran_social_insect	Invertebrate_Microbiology	Microbiology	Hemiptera	Aphididae	>1_developmental_stage	Body	Whole	Yes	Qiagen	V3-V4	Yes	EBCs	No	No	No	Not_given	No	NA	No	NA	No	No	No	No	Yes	PRJNA837194	2
Liu	2022	Comparative_microbiome_analysis_reveals_bacterial_communities_associated_with_Candidatus_Liberibacter_asiaticus_infection_in_the_Huanglongbing_insect_vector_Diaphorina_citri	Journal_of_Asia-Pacific_Entomology	Entomology	Hemiptera	Liviidae	Adults	Body	Whole	Yes	MinkaGene	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	4
Liu	2022	First_determination_of_DNA_virus_and_some_additional_bacteria_from_Melophagus_ovinus_(sheep_ked)_in_Tibet,_China	Frontiers_of_Microbiology	Microbiology	Diptera	Hippoboscidae	Adults	Body	Whole	Yes	TaKaRa	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA849748_and_PRJNA85236	1
Liu	2022	Biodegradation_of_polyether-polyurethane_foam_in_yellow_mealworms_(Tenebrio_molitor)_and_effects_on_the_gut_microbiome	Chemosphere	Microbiome	Coleoptera	Tenebrionidae	Juveniles	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	23
Lu	2019	Host_plants_influence_the_composition_of_the_gut_bacteria_in_Henosepilachna_vigintioctopunctata	PLoS_ONE	Microbiome	Coleoptera	Coccinellidae	Juveniles	Gut	Gut	Yes	Magen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA503516	26
Lv	2021	Comparison_of_Gut_Bacterial_Communities_of_Fall_Armyworm_(Spodoptera_frugiperda)_Reared_on_Different_Host_Plants	International_Journal_of_Molecular_Sciences	Microbiology	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	Magen	V3-V4	Yes	PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	No	No	No	No	NA	23
Lyra	2018	The_Intestinal_Microbiota_of_Tadpoles_Differs_from_Those_of_Syntopic_Aquatic_Invertebrates	Microbial_Ecology	Microbiology	Multiple	Multiple	Adults	Body	Whole	No	MoBio_Laboratories	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA368741	17
Ma	2022	Composition_and_Diversity_of_Gut_Bacterial_Community_in_Different_Life_Stages_of_a_Leaf_Beetle_Gastrolina_depressa	Microbial_Ecology	Microbiology	Coleoptera	Chrysomelidae	Juveniles	Gut	Gut	Yes	MP_Biomedicals	V3-V4	Yes	EBCs	No	Yes	Yes	NA	Yes	DIY	No	NA	No	No	No	No	Yes	PRJNA768929	6
Magagnoli	2022	The_ground_beetle_Pseudoophonus_rufipes_gut_microbiome_is_influenced_by_the_farm_management_system	Scientific_reports	Microbiome	Coleoptera	Carabidae	Adults	Gut	Gut	Yes	ZymoBIOMICS	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	PRJNA798890	3
Majumder	2019	Next-Generation_Sequencing_reveals_relationship_between_the_larval_microbiome_and_food_substrate_in_the_polyphagous_Queensland_fruit_fly	Scientific_reports	Microbiome	Diptera	Tephritidae	Juveniles	Body	Whole	Yes	Qiagen	V1-V3	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	PRJNA528521	20
Majumder	2020	Microbiome_of_the_Queensland_fruit_fly_through_metamorphosis	Mircoorganisms	Microbiology	Diptera	Tephritidae	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V1-V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	Yes	No	Yes	PRJNA556787	19
Malathi	2018	Gut_Bacterial_Diversity_of_Insecticide-Susceptible_and_-Resistant_Nymphs_of_the_Brown_Planthopper_Nilaparvata_lugens_Stal_(Hemiptera:_Delphacidae)_and_Elucidation_of_Their_Putative_Functional_Roles	Journal_of_Microbiology_and_Biotechnology	Microbiology	Hemiptera	Delphacidae	Juveniles	Gut	Gut	Yes	Qiagen	V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SRP075392	21
Mancini	2018	Estimating_bacteria_diversity_in_different_organs_of_nine_species_of_mosquito_by_next_generation_sequencing	BMC_Microbiology	Microbiology	Diptera	Culicidae	Adults	Gut	Gut	Yes	Invitrogen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	Yes	Yes	PRJNA416453	71
Marynowska	2020	Compositional_and_functional_characterisation_of_biomass-degrading_microbial_communities_in_guts_of_plant_fibre-_and_soil-feeding_higher_termites	Microbiome	Microbiome	Hymenoptera	Termitidae	Adults	Gut	Gut	Yes	Qiagen	V6-V8	Yes	EBCs	No	No	Yes	NA	Yes	Other	No	NA	No	No	No	Yes	Yes	MH067978_to_MH068018	0
Mason	2014	Acquisition_and_Structuring_of_Midgut_Bacterial_Communities_in_Gypsy_Moth_(Lepidoptera:_Erebidae)_Larvae	Environmental_entomology	Entomology	Lepidoptera	Erebidae	Juveniles	Gut	Gut	No	Epicentre	V6-V8	Yes	PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	Yes	Yes	Yes	Yes	SRP030624	0
Mason	2017	Within_gut_physicochemical_variation_does_not_correspond_to_distinct_resident_fungal_and_bacterial_communities_in_the_tree-killing_xylophage,_Anoplophora_glabripennis	Journal_of_Insect_Physiology	Entomology	Coleoptera	Cerambycidae	Juveniles	Gut	Gut	Yes	ZymoBIOMICS	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	Yes	Yes	No	No	Yes	PRJNA343943	10
Mason	2019	Bacterial_and_Fungal_Midgut_Community_Dynamics_and_Transfer_Between_Mother_and_Brood_in_the_Asian_Longhorned_Beetle_(Anoplophora_glabripennis),_an_Invasive_Xylophage	Microbial_Ecology	Microbiology	Coleoptera	Cerambycidae	>1_developmental_stage	Gut	Gut	Yes	ZymoBIOMICS	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	Yes	No	No	No	NA	27
McFrederick	2014	Interactions_between_fungi_and_bacteria_influence_microbial_community_structure_in_the_Megachile_rotundata_larval_gut	Proceedings_of_the_Royal_Society	Melittology	Hymenoptera	Megachilidae	Juveniles	Gut	Gut	No	Protocol	V1-V3	Yes	EBCs	No	Yes	No	Low_biomass	No	NA	Yes	No	No	No	No	No	Yes	SRP021036	42
Mejia-Alvarado	2021	Structure_and_dynamics_of_the_gut_bacterial_community_across_the_developmental_stages_of_the_coffee_berry_borer,_Hypothenemus_hampei	Frontiers_in_Microbiology	Microbiology	Coleoptera	Curculionidae	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA682196	6
Men	2022	Symbiotic_Microorganisms_and_Their_Different_Association_Types_in_Aquatic_and_Semiaquatic_Bugs	Microbiology_Spectrum	Microbiology	Hemiptera	Multiple	Adults	Body	Whole	Yes	Qiagen	Full_length	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJCA007913	0
Meng	2019	16S_rRNA_Gene_Sequencing_Reveals_a_Shift_in_the_Microbiota_of_Diaphorina_citri_During_the_Psyllid_Life_Cycle	Frontiers_in_Microbiology	Microbiology	Hemiptera	Liviidae	>1_developmental_stage	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	Yes	No	Yes	Yes	SRP178960	35
Meng	2022	Investigation_of_Gut_Bacterial_Communities_of_Asian_Citrus_Psyllid_(Diaphorina_citri)_Reared_on_Different_Host_Plants	Insects	Entomology	Hemiptera	Liviidae	Adults	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA515577	6
Mereghetti	2019	Evidence_for_a_conserved_microbiota_across_the_different_developmental_stages_of_Plodia_interpunctella	Insect_Science	Entomology	Lepidoptera	Pyralidae	>1_developmental_stage	Body	Whole	Yes	Protocol	V1-V3	Yes	EBCs	No	No	No	Not_given	No	NA	No	NA	No	No	No	No	Yes	PRJEB21609	22
Michell	2021	Microbiomes_of_willow-galling_sawflies:_effects_of_host_plant,_gall_type,_and_phylogeny_on_community_structure_and_function	Genome	Microbiome	Hymenoptera	Tenthredinidae	Juveniles	Body	Whole	Yes	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	Yes	No	Yes	PRJNA604091	7
Mikaelyan	2015	Diet_is_the_primary_determinant_of_bacterial_community_structure_in_the_guts_of_higher_termites	Molecular_ecology	Microbiology	Blattodea	Termitidae	Adults	Gut	Gut	No	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	126
Mikaelyan	2016	Deterministic_Assembly_of_Complex_Bacterial_Communities_in_Guts_of_Germ-Free_Cockroaches	Applied_and_Environmental_Microbiology	Microbiology	Blattodea	Blattidae	>1_developmental_stage	Gut	Gut	Yes	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	50
Minard	2014	Pyrosequencing_16S_rRNA_genes_of_bacteria_associated_with_wild_tiger_mosquito_Aedes_albopictus:_a_pilot_study	Frontiers_in_Cellular_and_Infection_Microbiology	Microbiology	Diptera	Culicidae	Adults	Body	Whole	Yes	Protocol	V5-V6	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	49
Mogouong	2020	Gut_microbiome_of_the_emerald_ash_borer,_Agrilus_planipennis_Fairmaire,_and_its_relationship_with_insect_population_density	FEMS_Microbiology_Ecology	Microbiology	Coleoptera	Buprestidae	Adults	Gut	Gut	Yes	Protocol	V6-V8	Yes	PCRblanks	No	No	No	Not_given	No	NA	No	NA	No	No	Yes	No	Yes	PRJNA544945	8
Mohlmann	2022	Species_Identity,_Life_History,_and_Geographic_Distance_Influence_Gut_Bacterial_Communities_in_Lab-Reared_and_European_Field-Collected_Culicoides_Biting_midges	Microbial_Ecology	Microbiology	Diptera	Ceratopogonidae	>1_developmental_stage	Body	Whole	Yes	Protocol	V4	Yes	EBCs	14/30	Yes	Yes	NA	Yes	Heuristically	Yes	No	No	No	Yes	Yes	Yes	https://www.ncbi.nlm.nih.gov/bioproject/756562	2
Montagna	2015	Metamicrobiomics_in_herbivore_beetles_of_the_genus_Cryptocephalus_(Chrysomelidae):_toward_the_understanding_of_ecological_determinants_in_insect_symbiosis	Insect_Science	Entomology	Coleoptera	Melyridae	Adults	Gut	Gut	Yes	Qiagen	V1-V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	Yes	No	Yes	PRJEB5251	38
Montoya-Porras	2018	16S_rRNA_gene_amplicon_sequencing_reveals_dominance_of_Actinobacteria_in_Rhodnius_pallescens_compared_to_Triatoma_maculata_midgut_microbiota_in_natural_populations_of_vector_insects_from_Colombia	Acta_Tropica	Public_health	Hemiptera	Reduviidae	Adults	Gut	Gut	Yes	MP_Biomedicals	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	SAMN06704920,_SAMN06704921	31
Morera-Margarit	2019	The_bacterial_community_associated_with_adult_vine_weevil_(Otiorhynchus_sulcatus)_in_UK_populations_growing_on_strawberry_is_dominated_by_Candidatus_Nardonella	Entomologia_Experimentalis_et_Applicata	Entomology	Coleoptera	Curculionidae	Adults	Body	Whole	Yes	Macherey-Nagel	V4	Yes	EBCs	No	No	No	Not_given	No	NA	No	NA	No	No	Yes	Yes	Yes	PRJEB28361	7
Morrow	2017	Symbionts_in_waiting:_the_dynamics_of_incipient_endosymbiont_complementation_and_replacement_in_minimal_bacterial_communities_of_psyllids	Microbiome	Microbiome	Hemiptera	Psylloidea	>1_developmental_stage	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	Yes	Yes	No	Yes	PRJNA381972	44
Muturi	2018	Mosquito_microbiota_cluster_by_host_sampling_location	Parasites_&_Vectors	Microbiology	Diptera	Culicidae	Adults	Body	Whole	Yes	Qiagen	V3-V5	Yes	EBCs	No	Yes	Yes	NA	Yes	DIY	Yes	No	No	No	No	Yes	Yes	PRJNA477711	50
Muturi	2021	Blood_meal_source_and_mixed_blood-feeding_influence_gut_bacterial_community_composition_in_Aedes_aegypti	Parasite_&_Vectors	Microbiology	Diptera	Culicidae	Adults	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	No	NA	17
Naaz	2020	Developmental_stage-associated_microbiota_profile_of_the_peach_fruit_fly,_Bactrocera_zonata_(Diptera:_Tephritidae)_and_their_functional_prediction_using_16S_rRNA_gene_metabarcoding_sequencing	3_Biotech	Microbiome	Diptera	Tephritidae	>1_developmental_stage	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA570100	4
Nakabachi	2020	16S_rRNA_sequencing_detected_Profftella,_Liberibacter,_Wolbachia,_and_Diplorickettsia_from_relatives_of_the_Asian_citrus_psyllid	Invertebrate_Microbiology	Microbiology	Hemiptera	Psylloidea	Adults	Body	Whole	No	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	DRR190968_-_DRR190970	21
